"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Feed","2023-08-22 10:50",,,"Formula","Bottle","6oz",
"Sleep","2023-08-22 08:51","2023-08-22 10:48","01:57",,,,
"Feed","2023-08-22 07:35",,,"Formula","Bottle","6oz",
"Sleep","2023-08-21 19:56","2023-08-22 07:29","11:33",,,,
"Diaper","2023-08-21 19:26",,,,,"Poo:large",
"Feed","2023-08-21 18:45",,,"Formula","Bottle","6oz",
"Sleep","2023-08-21 17:35","2023-08-21 17:58","00:23",,,,
"Diaper","2023-08-21 17:20",,,,,"Poo:small",
"Feed","2023-08-21 15:54",,,"Formula","Bottle","6oz",
"Sleep","2023-08-21 14:10","2023-08-21 15:48","01:38",,,,
"Diaper","2023-08-21 13:27",,,,,"Poo:large",
"Feed","2023-08-21 12:57",,,"Formula","Bottle","6oz",
"Sleep","2023-08-21 11:39","2023-08-21 12:40","01:01",,,,
"Feed","2023-08-21 10:14",,,"Formula","Bottle","6oz",
"Sleep","2023-08-21 08:56","2023-08-21 10:07","01:10",,,,
"Diaper","2023-08-21 08:12",,,,,"Poo:large",
"Feed","2023-08-21 07:32",,,"Formula","Bottle","6oz",
"Sleep","2023-08-20 19:53","2023-08-21 07:28","11:35",,,,
"Diaper","2023-08-20 19:40",,,,,"Poo:medium",
"Feed","2023-08-20 19:01",,,"Formula","Bottle","6oz",
"Sleep","2023-08-20 18:00","2023-08-20 18:20","00:20",,,,
"Diaper","2023-08-20 16:45",,,,,"Poo:medium",
"Feed","2023-08-20 16:15",,,"Formula","Bottle","6oz",
"Sleep","2023-08-20 15:12","2023-08-20 16:00","00:47",,,,
"Diaper","2023-08-20 14:10",,,,,"Poo:small",
"Feed","2023-08-20 13:40",,,"Formula","Bottle","6oz",
"Sleep","2023-08-20 12:20","2023-08-20 13:30","01:10",,,,
"Diaper","2023-08-20 12:00",,,,,"Poo:large",
"Feed","2023-08-20 11:05",,,"Formula","Bottle","6oz",
"Sleep","2023-08-20 09:07","2023-08-20 10:45","01:38",,,,
"Feed","2023-08-20 07:32",,,"Formula","Bottle","6oz",
"Sleep","2023-08-19 20:49","2023-08-20 07:28","10:39",,,,
"Diaper","2023-08-19 19:28",,,,,"Poo:large",
"Feed","2023-08-19 18:42",,,"Formula","Bottle","6oz",
"Sleep","2023-08-19 17:28","2023-08-19 18:02","00:34",,,,
"Diaper","2023-08-19 16:35",,,,,"Poo",
"Feed","2023-08-19 16:00",,,"Formula","Bottle","6oz",
"Sleep","2023-08-19 14:43","2023-08-19 15:30","00:47",,,,
"Feed","2023-08-19 13:00",,,"Formula","Bottle","6oz",
"Sleep","2023-08-19 12:01","2023-08-19 12:51","00:49",,,,
"Feed","2023-08-19 10:30",,,"Formula","Bottle","6oz",
"Sleep","2023-08-19 08:49","2023-08-19 10:25","01:36",,,,
"Diaper","2023-08-19 08:19",,,,,"Poo:large",
"Feed","2023-08-19 07:32",,,"Formula","Bottle","6oz",
"Diaper","2023-08-19 07:28",,,,,"Both, poo:small",
"Sleep","2023-08-18 19:53","2023-08-19 07:26","11:33",,,,
"Diaper","2023-08-18 19:35",,,,,"Pee",
"Feed","2023-08-18 19:00",,,"Formula","Bottle","6oz",
"Diaper","2023-08-18 18:35",,,,,"Pee",
"Sleep","2023-08-18 18:03","2023-08-18 18:19","00:16",,,,
"Feed","2023-08-18 16:12",,,"Formula","Bottle","6oz",
"Diaper","2023-08-18 16:11",,,,,"Pee",
"Sleep","2023-08-18 14:20","2023-08-18 16:08","01:47",,,,
"Diaper","2023-08-18 13:45",,,,,"Poo:large",
"Feed","2023-08-18 13:18",,,"Formula","Bottle","6oz",
"Sleep","2023-08-18 12:15","2023-08-18 12:40","00:25",,,,
"Diaper","2023-08-18 11:14",,,,,"Pee",
"Feed","2023-08-18 10:26",,,"Formula","Bottle","6oz",
"Sleep","2023-08-18 09:00","2023-08-18 10:15","01:14",,,,
"Feed","2023-08-18 07:32",,,"Formula","Bottle","6oz",
"Diaper","2023-08-18 07:30",,,,,"Pee",
"Sleep","2023-08-17 19:58","2023-08-18 07:26","11:28",,,,
"Diaper","2023-08-17 19:35",,,,,"Pee",
"Feed","2023-08-17 19:02",,,"Formula","Bottle","6oz",
"Diaper","2023-08-17 18:40",,,,,"Pee",
"Sleep","2023-08-17 17:50","2023-08-17 18:11","00:21",,,,
"Diaper","2023-08-17 17:02",,,,,"Pee",
"Feed","2023-08-17 16:18",,,"Formula","Bottle","6oz",
"Sleep","2023-08-17 15:38","2023-08-17 16:11","00:33",,,,
"Diaper","2023-08-17 15:15",,,,,"Pee",
"Diaper","2023-08-17 14:15",,,,,"Both, poo:large",
"Feed","2023-08-17 13:46",,,"Formula","Bottle","6oz",
"Diaper","2023-08-17 13:45",,,,,"Pee",
"Sleep","2023-08-17 12:01","2023-08-17 13:43","01:42",,,,
"Diaper","2023-08-17 11:48",,,,,"Pee",
"Feed","2023-08-17 10:30",,,"Formula","Bottle","6oz",
"Diaper","2023-08-17 10:28",,,,,"Pee",
"Sleep","2023-08-17 09:04","2023-08-17 10:26","01:22",,,,
"Diaper","2023-08-17 08:55",,,,,"Pee",
"Feed","2023-08-17 07:34",,,"Formula","Bottle","6oz",
"Diaper","2023-08-17 07:33",,,,,"Pee",
"Sleep","2023-08-16 19:38","2023-08-17 07:30","11:52",,,,
"Diaper","2023-08-16 19:25",,,,,"Poo:large",
"Feed","2023-08-16 18:43",,,"Formula","Bottle","6oz",
"Sleep","2023-08-16 17:04","2023-08-16 17:45","00:41",,,,
"Diaper","2023-08-16 16:47",,,,,"Both, poo:large",
"Feed","2023-08-16 15:57",,,"Formula","Bottle","6.5oz",
"Sleep","2023-08-16 14:37","2023-08-16 15:20","00:43",,,,
"Diaper","2023-08-16 14:25",,,,,"Pee",
"Diaper","2023-08-16 14:00",,,,,"Pee",
"Feed","2023-08-16 13:06",,,"Formula","Bottle","5.5oz",
"Sleep","2023-08-16 12:07","2023-08-16 13:00","00:53",,,,
"Diaper","2023-08-16 11:55",,,,,"Both, poo:large",
"Diaper","2023-08-16 11:35",,,,,"Pee",
"Feed","2023-08-16 10:35",,,"Formula","Bottle","6oz",
"Diaper","2023-08-16 10:32",,,,,"Pee",
"Sleep","2023-08-16 08:45","2023-08-16 10:31","01:46",,,,
"Diaper","2023-08-16 08:40",,,,,"Pee",
"Diaper","2023-08-16 08:05",,,,,"Both, poo:large",
"Feed","2023-08-16 07:23",,,"Formula","Bottle","6oz",
"Sleep","2023-08-15 19:25","2023-08-16 07:20","11:55",,,,
"Diaper","2023-08-15 19:17",,,,,"Pee",
"Feed","2023-08-15 18:42",,,"Formula","Bottle","6oz",
"Diaper","2023-08-15 18:15",,,,,"Pee",
"Sleep","2023-08-15 17:10","2023-08-15 17:45","00:35",,,,
"Diaper","2023-08-15 16:30",,,,,"Both, poo:small",
"Feed","2023-08-15 16:00",,,"Formula","Bottle","6oz",
"Sleep","2023-08-15 15:05","2023-08-15 15:40","00:35",,,,
"Diaper","2023-08-15 14:50",,,,,"Both, poo:medium",
"Diaper","2023-08-15 13:30",,,,,"Pee",
"Feed","2023-08-15 13:30",,,"Formula","Bottle","5.5oz",
"Sleep","2023-08-15 11:46","2023-08-15 13:25","01:39",,,,
"Diaper","2023-08-15 11:30",,,,,"Both, poo:large",
"Diaper","2023-08-15 10:16",,,,,"Pee",
"Feed","2023-08-15 10:16",,,"Formula","Bottle","6oz",
"Sleep","2023-08-15 08:45","2023-08-15 10:11","01:26",,,,
"Diaper","2023-08-15 08:40",,,,,"Pee",
"Feed","2023-08-15 07:32",,,"Formula","Bottle","6oz",
"Diaper","2023-08-15 07:31",,,,,"Pee",
"Sleep","2023-08-14 19:33","2023-08-15 07:26","11:53",,,,
"Diaper","2023-08-14 19:22",,,,,"Pee",
"Feed","2023-08-14 18:47",,,"Formula","Bottle","6oz",
"Diaper","2023-08-14 18:20",,,,,"Pee",
"Sleep","2023-08-14 17:33","2023-08-14 17:57","00:24",,,,
"Diaper","2023-08-14 17:00",,,,,"Both, poo:medium",
"Feed","2023-08-14 16:00",,,"Formula","Bottle","6oz",
"Diaper","2023-08-14 15:50",,,,,"Pee",
"Sleep","2023-08-14 14:34","2023-08-14 15:35","01:01",,,,
"Diaper","2023-08-14 14:00",,,,,"Both, poo:large",
"Feed","2023-08-14 13:05",,,"Formula","Bottle","6oz",
"Diaper","2023-08-14 12:55",,,,,"Pee",
"Sleep","2023-08-14 11:39","2023-08-14 12:50","01:11",,,,
"Diaper","2023-08-14 11:00",,,,,"Both, poo:small",
"Feed","2023-08-14 10:21",,,"Formula","Bottle","6oz",
"Diaper","2023-08-14 10:18",,,,,"Pee",
"Sleep","2023-08-14 08:46","2023-08-14 10:15","01:29",,,,
"Diaper","2023-08-14 08:05",,,,,"Poo:large",
"Feed","2023-08-14 07:30",,,"Formula","Bottle","6oz",
"Diaper","2023-08-14 07:27",,,,,"Pee",
"Sleep","2023-08-13 19:22","2023-08-14 07:24","12:02",,,,
"Diaper","2023-08-13 19:15",,,,,"Pee",
"Feed","2023-08-13 18:41",,,"Formula","Bottle","6oz",
"Diaper","2023-08-13 18:15",,,,,"Pee",
"Sleep","2023-08-13 18:03","2023-08-13 18:10","00:07",,,,
"Diaper","2023-08-13 17:26",,,,,"Both, poo:large",
"Diaper","2023-08-13 16:30",,,,,"Both, poo:medium",
"Feed","2023-08-13 16:00",,,"Formula","Bottle","6oz",
"Sleep","2023-08-13 15:15","2023-08-13 15:57","00:42",,,,
"Diaper","2023-08-13 15:09",,,,,"Pee",
"Diaper","2023-08-13 14:15",,,,,"Both",
"Feed","2023-08-13 13:20",,,"Formula","Bottle","5.5oz",
"Diaper","2023-08-13 13:15",,,,,"Pee",
"Sleep","2023-08-13 12:05","2023-08-13 13:17","01:11",,,,
"Feed","2023-08-13 10:34",,,"Formula","Bottle","6oz",
"Diaper","2023-08-13 10:33",,,,,"Pee",
"Sleep","2023-08-13 08:45","2023-08-13 10:30","01:45",,,,
"Diaper","2023-08-13 08:07",,,,,"Poo:medium",
"Feed","2023-08-13 07:30",,,"Formula","Bottle","6oz",
"Diaper","2023-08-13 07:27",,,,,"Pee",
"Sleep","2023-08-12 19:58","2023-08-13 07:22","11:24",,,,
"Diaper","2023-08-12 19:42",,,,,"Both, poo:small",
"Feed","2023-08-12 19:03",,,"Formula","Bottle","6oz",
"Diaper","2023-08-12 18:40",,,,,"Pee",
"Sleep","2023-08-12 17:54","2023-08-12 18:17","00:23",,,,
"Diaper","2023-08-12 17:45",,,,,"Both, poo:medium",
"Diaper","2023-08-12 16:45",,,,,"Both, poo:medium",
"Feed","2023-08-12 16:14",,,"Formula","Bottle","6oz",
"Sleep","2023-08-12 15:18","2023-08-12 15:58","00:40",,,,
"Diaper","2023-08-12 15:05",,,,,"Pee",
"Diaper","2023-08-12 14:01",,,,,"Both, poo:large",
"Feed","2023-08-12 13:30",,,"Formula","Bottle","6oz",
"Sleep","2023-08-12 12:47","2023-08-12 13:26","00:39",,,,
"Diaper","2023-08-12 12:15",,,,,"Pee",
"Diaper","2023-08-12 10:55",,,,,"Pee",
"Feed","2023-08-12 10:55",,,"Formula","Bottle","6oz",
"Sleep","2023-08-12 08:58","2023-08-12 10:51","01:53",,,,
"Diaper","2023-08-12 08:50",,,,,"Pee",
"Feed","2023-08-12 07:31",,,"Formula","Bottle","6oz",
"Diaper","2023-08-12 07:30",,,,,"Pee",
"Sleep","2023-08-11 19:41","2023-08-12 07:27","11:46",,,,
"Diaper","2023-08-11 18:45",,,,,"Pee",
"Feed","2023-08-11 18:42",,,"Formula","Bottle","6oz",
"Diaper","2023-08-11 18:20",,,,,"Both, poo:medium",
"Sleep","2023-08-11 17:36","2023-08-11 18:00","00:23",,,,
"Diaper","2023-08-11 16:50",,,,,"Both, poo:medium",
"Diaper","2023-08-11 16:00",,,,,"Both, poo:large",
"Feed","2023-08-11 16:00",,,"Formula","Bottle","6oz",
"Sleep","2023-08-11 14:37","2023-08-11 15:34","00:56",,,,
"Diaper","2023-08-11 14:15",,,,,"Both, poo:medium",
"Feed","2023-08-11 13:20",,,"Formula","Bottle","6oz",
"Diaper","2023-08-11 13:15",,,,,"Both, poo:large",
"Sleep","2023-08-11 12:17","2023-08-11 12:58","00:41",,,,
"Diaper","2023-08-11 12:05",,,,,"Both, poo:small",
"Feed","2023-08-11 10:48",,,"Formula","Bottle","6oz",
"Diaper","2023-08-11 10:47",,,,,"Pee",
"Sleep","2023-08-11 08:52","2023-08-11 10:44","01:51",,,,
"Diaper","2023-08-11 08:45",,,,,"Pee",
"Diaper","2023-08-11 08:11",,,,,"Pee",
"Feed","2023-08-11 07:31",,,"Formula","Bottle","6oz",
"Diaper","2023-08-11 07:27",,,,,"Pee",
"Sleep","2023-08-10 19:49","2023-08-11 07:24","11:35",,,,
"Diaper","2023-08-10 19:30",,,,,"Both, poo:large",
"Feed","2023-08-10 18:58",,,"Formula","Bottle","6oz",
"Diaper","2023-08-10 18:25",,,,,"Pee",
"Sleep","2023-08-10 17:40","2023-08-10 18:03","00:23",,,,
"Diaper","2023-08-10 17:00",,,,,"Both, poo:medium",
"Feed","2023-08-10 16:00",,,"Formula","Bottle","6oz",
"Diaper","2023-08-10 15:55",,,,,"Pee",
"Sleep","2023-08-10 14:46","2023-08-10 15:41","00:55",,,,
"Diaper","2023-08-10 14:40",,,,,"Pee",
"Diaper","2023-08-10 14:00",,,,,"Both, poo:large",
"Feed","2023-08-10 13:24",,,"Formula","Bottle","6oz",
"Diaper","2023-08-10 13:22",,,,,"Pee",
"Sleep","2023-08-10 12:14","2023-08-10 13:14","01:00",,,,
"Diaper","2023-08-10 12:10",,,,,"Pee",
"Diaper","2023-08-10 11:10",,,,,"Both, poo:medium",
"Feed","2023-08-10 10:45",,,"Formula","Bottle","6oz",
"Diaper","2023-08-10 10:42",,,,,"Pee",
"Sleep","2023-08-10 09:00","2023-08-10 10:41","01:41",,,,
"Diaper","2023-08-10 08:15",,,,,"Both, poo:large",
"Feed","2023-08-10 07:39",,,"Formula","Bottle","6oz",
"Diaper","2023-08-10 07:37",,,,,"Pee",
"Sleep","2023-08-09 19:40","2023-08-10 07:32","11:52",,,,
"Diaper","2023-08-09 19:29",,,,,"Pee",
"Feed","2023-08-09 18:45",,,"Formula","Bottle","6oz",
"Diaper","2023-08-09 18:20",,,,,"Both, poo:large",
"Sleep","2023-08-09 17:19","2023-08-09 17:51","00:31",,,,
"Diaper","2023-08-09 17:00",,,,,"Both, poo:large",
"Diaper","2023-08-09 16:35",,,,,"Both, poo:large",
"Feed","2023-08-09 15:55",,,"Formula","Bottle","6oz",
"Diaper","2023-08-09 15:40",,,,,"Both, poo:small",
"Sleep","2023-08-09 14:25","2023-08-09 15:34","01:09",,,,
"Sleep","2023-08-09 13:30","2023-08-09 13:50","00:20",,,,
"Diaper","2023-08-09 13:15",,,,,"Both, poo:medium",
"Feed","2023-08-09 12:35",,,"Formula","Bottle","6oz",
"Diaper","2023-08-09 12:30",,,,,"Pee",
"Sleep","2023-08-09 11:18","2023-08-09 11:48","00:30",,,,
"Diaper","2023-08-09 10:50",,,,,"Both, poo:large",
"Feed","2023-08-09 10:01",,,"Formula","Bottle","6oz",
"Diaper","2023-08-09 10:00",,,,,"Pee",
"Sleep","2023-08-09 08:22","2023-08-09 09:43","01:21",,,,
"Diaper","2023-08-09 07:48",,,,,"Both",
"Feed","2023-08-09 07:04",,,"Formula","Bottle","6.5oz",
"Diaper","2023-08-09 07:00",,,,,"Pee",
"Sleep","2023-08-08 19:47","2023-08-09 06:57","11:09",,,,
"Feed","2023-08-08 18:43",,,"Formula","Bottle","6oz",
"Sleep","2023-08-08 17:24","2023-08-08 17:50","00:26",,,,
"Diaper","2023-08-08 17:10",,,,,"Both, poo:large",
"Feed","2023-08-08 15:59",,,"Formula","Bottle","6oz",
"Diaper","2023-08-08 15:55",,,,,"Pee",
"Sleep","2023-08-08 14:42","2023-08-08 15:38","00:56",,,,
"Diaper","2023-08-08 14:25",,,,,"Pee",
"Feed","2023-08-08 13:15",,,"Formula","Bottle","6oz",
"Sleep","2023-08-08 12:11","2023-08-08 13:08","00:57",,,,
"Diaper","2023-08-08 12:03",,,,,"Both, poo:large",
"Feed","2023-08-08 10:39",,,"Formula","Bottle","6oz",
"Diaper","2023-08-08 10:37",,,,,"Pee",
"Sleep","2023-08-08 08:48","2023-08-08 10:34","01:46",,,,
"Diaper","2023-08-08 08:35",,,,,"Pee",
"Feed","2023-08-08 07:31",,,"Formula","Bottle","6oz",
"Diaper","2023-08-08 07:28",,,,,"Pee",
"Sleep","2023-08-07 19:48","2023-08-08 07:25","11:37",,,,
"Diaper","2023-08-07 19:25",,,,,"Both, poo:large",
"Feed","2023-08-07 18:43",,,"Formula","Bottle","6oz",
"Diaper","2023-08-07 18:20",,,,,"Pee",
"Sleep","2023-08-07 17:28","2023-08-07 17:58","00:30",,,,
"Diaper","2023-08-07 16:52",,,,,"Both, poo:small",
"Feed","2023-08-07 15:59",,,"Formula","Bottle","6oz",
"Diaper","2023-08-07 15:57",,,,,"Pee",
"Sleep","2023-08-07 14:40","2023-08-07 15:34","00:54",,,,
"Diaper","2023-08-07 14:32",,,,,"Pee",
"Diaper","2023-08-07 13:45",,,,,"Both, poo:medium",
"Feed","2023-08-07 13:14",,,"Formula","Bottle","6oz",
"Diaper","2023-08-07 13:03",,,,,"Pee",
"Sleep","2023-08-07 12:08","2023-08-07 13:04","00:56",,,,
"Diaper","2023-08-07 12:00",,,,,"Pee",
"Feed","2023-08-07 10:39",,,"Formula","Bottle","6oz",
"Diaper","2023-08-07 10:38",,,,,"Pee",
"Sleep","2023-08-07 08:48","2023-08-07 10:34","01:46",,,,
"Diaper","2023-08-07 08:40",,,,,"Pee",
"Diaper","2023-08-07 08:15",,,,,"Poo:large",
"Feed","2023-08-07 07:33",,,"Formula","Bottle","6oz",
"Diaper","2023-08-07 07:30",,,,,"Pee",
"Sleep","2023-08-06 20:05","2023-08-07 07:25","11:20",,,,
"Diaper","2023-08-06 19:41",,,,,"Pee",
"Feed","2023-08-06 19:00",,,"Formula","Bottle","6oz",
"Diaper","2023-08-06 18:35",,,,,"Pee",
"Sleep","2023-08-06 17:37","2023-08-06 18:09","00:32",,,,
"Diaper","2023-08-06 17:00",,,,,"Poo:large",
"Diaper","2023-08-06 16:30",,,,,"Both, poo:large",
"Feed","2023-08-06 16:07",,,"Formula","Bottle","6oz",
"Diaper","2023-08-06 15:50",,,,,"Pee",
"Sleep","2023-08-06 14:27","2023-08-06 15:33","01:06",,,,
"Feed","2023-08-06 13:17",,,"Formula","Bottle","6oz",
"Sleep","2023-08-06 12:21","2023-08-06 13:00","00:39",,,,
"Diaper","2023-08-06 12:15",,,,,"Pee",
"Feed","2023-08-06 10:38",,,"Formula","Bottle","6oz",
"Diaper","2023-08-06 10:37",,,,,"Pee",
"Sleep","2023-08-06 08:49","2023-08-06 10:34","01:45",,,,
"Diaper","2023-08-06 08:35",,,,,"Pee",
"Feed","2023-08-06 07:31",,,"Formula","Bottle","6oz",
"Diaper","2023-08-06 07:30",,,,,"Both, poo:large",
"Sleep","2023-08-05 19:17","2023-08-06 07:25","12:07",,,,
"Diaper","2023-08-05 19:09",,,,,"Both, poo:large",
"Feed","2023-08-05 18:33",,,"Formula","Bottle","6oz",
"Diaper","2023-08-05 18:05",,,,,"Pee",
"Sleep","2023-08-05 17:25","2023-08-05 17:30","00:05",,,,
"Diaper","2023-08-05 17:15",,,,,"Pee",
"Diaper","2023-08-05 16:47",,,,,"Both, poo:small",
"Feed","2023-08-05 16:00",,,"Formula","Bottle","6oz",
"Diaper","2023-08-05 15:52",,,,,"Both, poo:small",
"Sleep","2023-08-05 14:40","2023-08-05 15:45","01:04",,,,
"Feed","2023-08-05 13:00",,,"Formula","Bottle","6oz",
"Diaper","2023-08-05 12:45",,,,,"Pee",
"Sleep","2023-08-05 10:38","2023-08-05 12:38","02:00",,,,
"Feed","2023-08-05 09:56",,,"Formula","Bottle","6oz",
"Diaper","2023-08-05 09:47",,,,,"Pee",
"Sleep","2023-08-05 08:29","2023-08-05 09:21","00:52",,,,
"Diaper","2023-08-05 08:20",,,,,"Both, poo:large",
"Feed","2023-08-05 07:11",,,"Formula","Bottle","6oz",
"Diaper","2023-08-05 07:10",,,,,"Pee",
"Sleep","2023-08-04 19:40","2023-08-05 07:08","11:28",,,,
"Diaper","2023-08-04 19:27",,,,,"Both, poo:small",
"Feed","2023-08-04 18:47",,,"Formula","Bottle","6oz",
"Sleep","2023-08-04 17:15","2023-08-04 17:47","00:32",,,,
"Diaper","2023-08-04 17:10",,,,,"Pee",
"Diaper","2023-08-04 16:30",,,,,"Both, poo:large",
"Feed","2023-08-04 15:58",,,"Formula","Bottle","6oz",
"Diaper","2023-08-04 15:50",,,,,"Pee",
"Sleep","2023-08-04 14:32","2023-08-04 15:39","01:07",,,,
"Diaper","2023-08-04 14:28",,,,,"Pee",
"Diaper","2023-08-04 13:45",,,,,"Both, poo:medium",
"Diaper","2023-08-04 13:25",,,,,"Both, poo:medium",
"Feed","2023-08-04 13:04",,,"Formula","Bottle","6oz",
"Diaper","2023-08-04 13:02",,,,,"Pee",
"Sleep","2023-08-04 11:28","2023-08-04 13:00","01:32",,,,
"Diaper","2023-08-04 11:10",,,,,"Pee",
"Diaper","2023-08-04 10:14",,,,,"Pee",
"Feed","2023-08-04 10:14",,,"Formula","Bottle","6oz",
"Sleep","2023-08-04 08:55","2023-08-04 10:03","01:08",,,,
"Diaper","2023-08-04 08:15",,,,,"Both, poo:medium",
"Feed","2023-08-04 07:31",,,"Formula","Bottle","6oz",
"Diaper","2023-08-04 07:30",,,,,"Pee",
"Sleep","2023-08-03 19:38","2023-08-04 07:28","11:50",,,,
"Diaper","2023-08-03 19:25",,,,,"Both, poo:large",
"Feed","2023-08-03 18:40",,,"Formula","Bottle","6.73oz",
"Sleep","2023-08-03 16:49","2023-08-03 17:29","00:40",,,,
"Diaper","2023-08-03 16:40",,,,,"Both, poo:medium",
"Diaper","2023-08-03 16:12",,,,,"Both, poo:large",
"Feed","2023-08-03 15:45",,,"Formula","Bottle","6oz",
"Diaper","2023-08-03 15:05",,,,,"Pee",
"Diaper","2023-08-03 13:30",,,,,"Pee",
"Sleep","2023-08-03 13:27","2023-08-03 14:59","01:32",,,,
"Feed","2023-08-03 13:01",,,"Formula","Bottle","4.5oz",
"Sleep","2023-08-03 11:04","2023-08-03 11:45","00:41",,,,
"Diaper","2023-08-03 10:45",,,,,"Both, poo:large",
"Feed","2023-08-03 10:05",,,"Formula","Bottle","6oz",
"Diaper","2023-08-03 10:04",,,,,"Pee",
"Sleep","2023-08-03 08:35","2023-08-03 09:35","01:00",,,,
"Diaper","2023-08-03 08:10",,,,,"Both, poo:large",
"Feed","2023-08-03 07:19",,,"Formula","Bottle","6oz",
"Diaper","2023-08-03 07:15",,,,,"Pee",
"Sleep","2023-08-02 19:57","2023-08-03 07:12","11:15",,,,
"Feed","2023-08-02 18:41",,,"Formula","Bottle","6oz",
"Sleep","2023-08-02 17:17","2023-08-02 17:55","00:38",,,,
"Diaper","2023-08-02 16:45",,,,,"Both, poo:medium",
"Feed","2023-08-02 16:00",,,"Formula","Bottle","4oz",
"Sleep","2023-08-02 14:53","2023-08-02 15:45","00:52",,,,
"Diaper","2023-08-02 14:45",,,,,"Both, poo:medium",
"Diaper","2023-08-02 13:34",,,,,"Pee",
"Feed","2023-08-02 13:34",,,"Formula","Bottle","6oz",
"Sleep","2023-08-02 11:43","2023-08-02 13:31","01:48",,,,
"Diaper","2023-08-02 11:40",,,,,"Pee",
"Diaper","2023-08-02 11:21",,,,,"Both, poo:large",
"Feed","2023-08-02 10:34",,,"Formula","Bottle","6oz",
"Diaper","2023-08-02 10:33",,,,,"Pee",
"Sleep","2023-08-02 08:45","2023-08-02 10:30","01:45",,,,
"Feed","2023-08-02 07:30",,,"Formula","Bottle","6oz",
"Diaper","2023-08-02 07:25",,,,,"Both, poo:small",
"Sleep","2023-08-01 19:28","2023-08-02 07:24","11:56",,,,
"Diaper","2023-08-01 19:20",,,,,"Both, poo:medium",
"Feed","2023-08-01 18:41",,,"Formula","Bottle","6oz",
"Diaper","2023-08-01 18:10",,,,,"Pee",
"Sleep","2023-08-01 16:14","2023-08-01 17:58","01:44",,,,
"Diaper","2023-08-01 16:03",,,,,"Both, poo:small",
"Feed","2023-08-01 15:32",,,"Formula","Bottle","6oz",
"Diaper","2023-08-01 15:25",,,,,"Pee",
"Diaper","2023-08-01 14:20",,,,,"Pee",
"Sleep","2023-08-01 13:27","2023-08-01 14:20","00:53",,,,
"Diaper","2023-08-01 13:20",,,,,"Pee",
"Feed","2023-08-01 12:42",,,"Formula","Bottle","6oz",
"Sleep","2023-08-01 10:58","2023-08-01 12:00","01:02",,,,
"Diaper","2023-08-01 10:45",,,,,"Both, poo:large",
"Feed","2023-08-01 10:00",,,"Formula","Bottle","6oz",
"Diaper","2023-08-01 09:55",,,,,"Pee",
"Sleep","2023-08-01 08:35","2023-08-01 09:40","01:04",,,,
"Diaper","2023-08-01 08:31",,,,,"Pee",
"Diaper","2023-08-01 08:05",,,,,"Poo:small",
"Feed","2023-08-01 07:25",,,"Formula","Bottle","6oz",
"Diaper","2023-08-01 07:24",,,,,"Pee",
"Sleep","2023-07-31 19:51","2023-08-01 07:19","11:28",,,,
"Diaper","2023-07-31 19:35",,,,,"Both, poo:large",
"Feed","2023-07-31 18:46",,,"Formula","Bottle","6oz",
"Diaper","2023-07-31 18:20",,,,,"Pee",
"Sleep","2023-07-31 17:19","2023-07-31 18:03","00:44",,,,
"Feed","2023-07-31 15:58",,,"Formula","Bottle","6oz",
"Diaper","2023-07-31 15:53",,,,,"Pee",
"Sleep","2023-07-31 14:52","2023-07-31 15:35","00:43",,,,
"Diaper","2023-07-31 14:45",,,,,"Pee",
"Diaper","2023-07-31 13:50",,,,,"Both, poo:large",
"Feed","2023-07-31 13:23",,,"Formula","Bottle","6oz",
"Diaper","2023-07-31 13:21",,,,,"Pee",
"Sleep","2023-07-31 11:58","2023-07-31 13:21","01:23",,,,
"Diaper","2023-07-31 11:45",,,,,"Pee",
"Diaper","2023-07-31 11:12",,,,,"Both, poo:medium",
"Feed","2023-07-31 10:34",,,"Formula","Bottle","6oz",
"Diaper","2023-07-31 10:32",,,,,"Pee",
"Sleep","2023-07-31 08:45","2023-07-31 10:30","01:45",,,,
"Diaper","2023-07-31 08:09",,,,,"Both, poo:small",
"Feed","2023-07-31 07:29",,,"Formula","Bottle","6oz",
"Diaper","2023-07-31 07:23",,,,,"Pee",
"Sleep","2023-07-30 19:45","2023-07-31 07:23","11:38",,,,
"Diaper","2023-07-30 19:32",,,,,"Pee",
"Feed","2023-07-30 18:48",,,"Formula","Bottle","6oz",
"Sleep","2023-07-30 17:31","2023-07-30 18:03","00:32",,,,
"Diaper","2023-07-30 16:50",,,,,"Both, poo:large",
"Diaper","2023-07-30 16:35",,,,,"Both, poo:large",
"Feed","2023-07-30 16:00",,,"Formula","Bottle","5oz",
"Sleep","2023-07-30 14:52","2023-07-30 15:51","00:58",,,,
"Diaper","2023-07-30 14:40",,,,,"Pee",
"Diaper","2023-07-30 13:53",,,,,"Both, poo:large",
"Feed","2023-07-30 13:23",,,"Formula","Bottle","6oz",
"Sleep","2023-07-30 12:10","2023-07-30 13:20","01:10",,,,
"Diaper","2023-07-30 11:15",,,,,"Both, poo:large",
"Feed","2023-07-30 10:42",,,"Formula","Bottle","6oz",
"Sleep","2023-07-30 08:45","2023-07-30 10:39","01:54",,,,
"Diaper","2023-07-30 08:10",,,,,"Both, poo:large",
"Feed","2023-07-30 07:33",,,"Formula","Bottle","6oz",
"Diaper","2023-07-30 07:30",,,,,"Both, poo:small",
